,Proliferation,,,
TCGA-A8-A0A9,0.016172348,,,
TCGA-A7-A6VY,0.001329273,,,
TCGA-A2-A0YE,0.054760172,,,
TCGA-E2-A14X,0.127937965,,,
TCGA-OL-A5D7,-0.004318309,,,
TCGA-BH-A0AW,-0.335730234,,,
TCGA-BH-A0W4,-0.217138127,,,
TCGA-XX-A899,-0.408139258,,,
TCGA-E9-A1RA,-0.368148963,,,
TCGA-E9-A1NI,-0.299935235,,,
TCGA-BH-A0EA,-0.540709878,,,
TCGA-LL-A5YP,-0.110132802,,,
TCGA-BH-A0DL,0.07052576,,,
TCGA-AC-A7VB,0.04204006,,,
TCGA-GM-A3NW,-0.340960685,,,
TCGA-A7-A26G,0.01444445,,,
TCGA-B6-A0I8,-0.307106521,,,
TCGA-C8-A12W,0.032146577,,,
TCGA-D8-A1XS,0.124808029,,,
TCGA-B6-A0RQ,-0.401982569,,,
TCGA-BH-A1FB,-0.384286583,,,
TCGA-AR-A2LN,-0.547014341,,,
TCGA-B6-A0RM,-0.062154591,,,
TCGA-AC-A4ZE,-0.189143835,,,
TCGA-D8-A142,0.023291562,,,
TCGA-A2-A4S0,-0.459651813,,,
TCGA-AO-A12H,-0.263050483,,,
TCGA-C8-A1HE,-0.109565741,,,
TCGA-BH-A1ET,-0.245896216,,,
TCGA-A8-A094,-0.216655503,,,
TCGA-AR-A2LO,-0.387140265,,,
TCGA-A2-A0T0,0.065179781,,,
TCGA-A2-A1FZ,-0.37896845,,,
TCGA-D8-A1JI,-0.33660661,,,
TCGA-E2-A15F,-0.175016952,,,
TCGA-A2-A0D3,-0.352245618,,,
TCGA-A2-A0YC,-0.104967883,,,
TCGA-BH-A0B9,0.119125301,,,
TCGA-BH-A0H5,-0.414288053,,,
TCGA-E2-A2P6,-0.226215793,,,
TCGA-A2-A0ST,-0.145832808,,,
TCGA-D8-A73W,-0.423577722,,,
TCGA-E9-A1NE,0.010355817,,,
TCGA-C8-A12P,-0.015235333,,,
TCGA-C8-A134,0.189275204,,,
TCGA-E2-A1LI,0.159340319,,,
TCGA-A1-A0SN,-0.019040263,,,
TCGA-AC-A62Y,-0.334843396,,,
TCGA-AO-A0JJ,-0.299165206,,,
TCGA-BH-A1FD,0.148035463,,,
TCGA-AN-A0FL,-0.205591131,,,
TCGA-D8-A1JF,-0.05845589,,,
TCGA-A8-A08S,-0.052153184,,,
TCGA-C8-A274,-0.01544488,,,
TCGA-D8-A3Z6,-0.407587637,,,
TCGA-AO-A03O,0.088524563,,,
TCGA-C8-A8HQ,-0.087358472,,,
TCGA-E2-A155,0.118668351,,,
TCGA-AC-A5EH,-0.245815655,,,
TCGA-S3-AA17,-0.2780964,,,
TCGA-GM-A3XL,0.064806858,,,
TCGA-AO-A12A,-0.352674554,,,
