,Stemness,,,,,,,,,
TCGA-78-8640,0.087588439,,,,,,,,,
TCGA-73-4666,0.366570694,,,,,,,,,
TCGA-69-7978,0.314276143,,,,,,,,,
TCGA-97-A4LX,-0.10223032,,,,,,,,,
TCGA-55-6543,-0.257819437,,,,,,,,,
TCGA-MP-A4TD,-0.431083039,,,,,,,,,
TCGA-55-8506,-0.184383806,,,,,,,,,
TCGA-49-6761,-0.096786027,,,,,,,,,
TCGA-44-2665,0.308932182,,,,,,,,,
TCGA-86-7953,0.3414726,,,,,,,,,
TCGA-55-7570,0.210813107,,,,,,,,,
TCGA-4B-A93V,-0.199889497,,,,,,,,,
TCGA-55-8511,0.0137976,,,,,,,,,
TCGA-78-7162,-0.128779621,,,,,,,,,
TCGA-91-6836,0.24251508,,,,,,,,,
TCGA-55-7994,0.219880791,,,,,,,,,
TCGA-78-7220,0.144895504,,,,,,,,,
TCGA-MP-A4TI,0.284077081,,,,,,,,,
TCGA-44-A4SS,-0.00133449,,,,,,,,,
TCGA-38-4629,0.479945782,,,,,,,,,
TCGA-86-8055,0.245329346,,,,,,,,,
TCGA-J2-A4AG,-0.269498344,,,,,,,,,
TCGA-05-4427,0.233743945,,,,,,,,,
TCGA-44-2661,0.045125945,,,,,,,,,
TCGA-NJ-A55A,-0.510628558,,,,,,,,,
TCGA-73-4659,0.234034601,,,,,,,,,
TCGA-55-7725,-0.196188761,,,,,,,,,
TCGA-49-AAR0,-0.257698875,,,,,,,,,
TCGA-O1-A52J,-0.338370965,,,,,,,,,
TCGA-44-6774,-0.036651491,,,,,,,,,
TCGA-78-8655,-0.346782449,,,,,,,,,
TCGA-55-6968,0.284703045,,,,,,,,,
TCGA-97-8175,0.182705752,,,,,,,,,
TCGA-50-5931,0.044233272,,,,,,,,,
TCGA-55-A48X,-0.418662019,,,,,,,,,
TCGA-49-AARN,-0.447921562,,,,,,,,,
TCGA-55-8097,-0.399094974,,,,,,,,,
TCGA-75-7031,-0.205766486,,,,,,,,,
TCGA-50-6591,0.179722425,,,,,,,,,
TCGA-55-8091,-0.029170177,,,,,,,,,
TCGA-67-3772,-0.082345863,,,,,,,,,
TCGA-69-7980,0.03317094,,,,,,,,,
TCGA-55-8207,-0.167986219,,,,,,,,,
TCGA-86-8279,-0.049804527,,,,,,,,,
TCGA-50-7109,-0.0498234,,,,,,,,,
TCGA-44-7661,0.477661751,,,,,,,,,
TCGA-05-5715,-0.248745766,,,,,,,,,
TCGA-05-4418,0.228921806,,,,,,,,,
TCGA-44-7669,0.378563746,,,,,,,,,
TCGA-44-2657,-0.157352501,,,,,,,,,
TCGA-97-A4M3,-0.403556989,,,,,,,,,
TCGA-05-4420,0.136357953,,,,,,,,,
TCGA-95-7944,0.240800563,,,,,,,,,
TCGA-44-6148,-0.378530978,,,,,,,,,
TCGA-49-4494,0.237662244,,,,,,,,,
TCGA-L9-A743,-0.215928919,,,,,,,,,
TCGA-55-6969,0.42288783,,,,,,,,,
TCGA-05-4415,0.448327956,,,,,,,,,
TCGA-67-6217,-0.410507373,,,,,,,,,
TCGA-L4-A4E6,-0.293161692,,,,,,,,,
TCGA-44-A479,0.097968214,,,,,,,,,
TCGA-55-6982,-0.18685132,,,,,,,,,
TCGA-55-8089,0.305651761,,,,,,,,,
TCGA-55-7284,-0.269753508,,,,,,,,,
TCGA-55-1596,0.095168767,,,,,,,,,
TCGA-78-7156,-0.406883171,,,,,,,,,
TCGA-64-1678,0.196387564,,,,,,,,,
TCGA-86-8073,0.190051408,,,,,,,,,
TCGA-55-8092,0.12299204,,,,,,,,,
TCGA-49-6767,0.198790808,,,,,,,,,
TCGA-05-4249,-0.133507185,,,,,,,,,
TCGA-S2-AA1A,-0.391652144,,,,,,,,,
