,Stemness,,,,
TCGA-B6-A0RV,-0.125095426,,,,
TCGA-EW-A1IZ,-0.074700156,,,,
TCGA-A1-A0SG,-0.343517026,,,,
TCGA-AR-A0TR,-0.223434784,,,,
TCGA-E2-A1LK,-0.172925417,,,,
TCGA-E2-A1L7,0.125547203,,,,
TCGA-BH-A0B2,-0.13201607,,,,
TCGA-A2-A1G4,0.098188859,,,,
TCGA-AN-A0AL,0.281180654,,,,
TCGA-BH-A18I,0.173542844,,,,
TCGA-AN-A046,-0.095386963,,,,
TCGA-OL-A5RV,-0.578040162,,,,
TCGA-A8-A092,0.152474752,,,,
TCGA-LQ-A4E4,-0.276765984,,,,
TCGA-A8-A090,0.071431384,,,,
TCGA-A2-A04W,-0.185608516,,,,
TCGA-3C-AALK,-0.386819134,,,,
TCGA-AC-A3YI,-0.320615339,,,,
TCGA-D8-A1JN,-0.257416063,,,,
TCGA-A8-A06X,0.125444805,,,,
TCGA-EW-A1PF,-0.263042643,,,,
TCGA-BH-A1F0,0.390489356,,,,
TCGA-AC-A2QI,-0.242357871,,,,
TCGA-BH-A28Q,-0.129882977,,,,
TCGA-E2-A1BC,-0.373416089,,,,
TCGA-E9-A1R5,-0.084188287,,,,
TCGA-BH-A0BG,0.210544129,,,,
TCGA-E9-A1R6,-0.31427265,,,,
TCGA-BH-A1EO,0.028249042,,,,
TCGA-E2-A15P,-0.182040049,,,,
TCGA-AC-A3BB,-0.340019458,,,,
TCGA-C8-A12Q,0.092634822,,,,
TCGA-BH-AB28,-0.350667116,,,,
TCGA-A8-A07S,-0.128719747,,,,
TCGA-BH-A0DD,0.065116839,,,,
TCGA-E9-A22D,0.298258119,,,,
TCGA-BH-A0AU,-0.175820689,,,,
TCGA-E9-A247,-0.053884137,,,,
TCGA-A2-A0T7,-0.137814913,,,,
TCGA-AO-A0J8,-0.132564256,,,,
TCGA-PL-A8LZ,0.203281332,,,,
TCGA-BH-A209,0.440691277,,,,
TCGA-BH-A0EB,0.033930755,,,,
TCGA-EW-A1P1,-0.076839415,,,,
TCGA-D8-A1XK,0.448538992,,,,
TCGA-AR-A24L,0.191887797,,,,
TCGA-AC-A8OR,-0.487499013,,,,
TCGA-B6-A40C,-0.271515291,,,,
TCGA-A8-A08T,-0.113077004,,,,
TCGA-BH-A18R,0.189392626,,,,
TCGA-BH-A1F5,-0.062391455,,,,
TCGA-E2-A1AZ,0.220168596,,,,
TCGA-5L-AAT1,-0.379708076,,,,
TCGA-BH-A0DZ,-0.130753385,,,,
TCGA-OK-A5Q2,-0.340132473,,,,
TCGA-A8-A093,-0.20755525,,,,
TCGA-A2-A0CS,-0.270357305,,,,
TCGA-E9-A295,-0.399824631,,,,
TCGA-A8-A09X,0.255112475,,,,
TCGA-OL-A5RU,-0.437673093,,,,
TCGA-AO-A0JI,-0.268366907,,,,
TCGA-A2-A0T2,0.022397954,,,,
TCGA-AN-A0XS,-0.278561234,,,,
TCGA-B6-A1KC,-0.056690532,,,,
TCGA-E9-A1R0,-0.215268453,,,,
TCGA-A8-A09Z,-0.230344009,,,,
TCGA-C8-A1HM,0.262181527,,,,
TCGA-A2-A1G6,-0.203347417,,,,
TCGA-A8-A0A9,0.103513552,,,,
TCGA-A7-A6VY,0.204277868,,,,
TCGA-A2-A0YE,0.189342541,,,,
TCGA-E2-A14X,0.190668458,,,,
TCGA-OL-A5D7,0.03041593,,,,
TCGA-BH-A0AW,-0.037133377,,,,
TCGA-BH-A0W4,-0.125556619,,,,
TCGA-XX-A899,-0.306635011,,,,
TCGA-E9-A1RA,-0.361538969,,,,
TCGA-E9-A1NI,-0.292363724,,,,
TCGA-BH-A0EA,-0.42603302,,,,
TCGA-LL-A5YP,0.076310147,,,,
TCGA-BH-A0DL,0.081531768,,,,
TCGA-AC-A7VB,-0.141319678,,,,
TCGA-GM-A3NW,-0.295750029,,,,
TCGA-A7-A26G,0.348650912,,,,
TCGA-B6-A0I8,-0.391305003,,,,
TCGA-C8-A12W,-0.07821616,,,,
TCGA-D8-A1XS,0.217801002,,,,
TCGA-B6-A0RQ,-0.378713785,,,,
TCGA-BH-A1FB,-0.011296287,,,,
TCGA-AR-A2LN,-0.444977313,,,,
TCGA-B6-A0RM,-0.303081802,,,,
TCGA-AC-A4ZE,-0.362282793,,,,
TCGA-D8-A142,0.233909287,,,,
TCGA-A2-A4S0,-0.475211999,,,,
TCGA-AO-A12H,-0.312595116,,,,
TCGA-C8-A1HE,-0.027560101,,,,
TCGA-BH-A1ET,0.012607442,,,,
TCGA-A8-A094,0.044075037,,,,
TCGA-AR-A2LO,-0.297062528,,,,
TCGA-A2-A0T0,0.337230075,,,,
TCGA-A2-A1FZ,-0.238737182,,,,
TCGA-D8-A1JI,-0.267845072,,,,
TCGA-E2-A15F,-0.239652407,,,,
TCGA-A2-A0D3,-0.295342454,,,,
TCGA-A2-A0YC,-0.113414556,,,,
TCGA-BH-A0B9,0.416189871,,,,
TCGA-BH-A0H5,-0.120417747,,,,
TCGA-E2-A2P6,-0.348318349,,,,
TCGA-A2-A0ST,0.077013785,,,,
TCGA-D8-A73W,-0.239443752,,,,
TCGA-E9-A1NE,0.169175947,,,,
TCGA-C8-A12P,0.17003273,,,,
TCGA-C8-A134,0.295223759,,,,
TCGA-E2-A1LI,0.252776114,,,,
TCGA-A1-A0SN,0.175456155,,,,
TCGA-AC-A62Y,-0.172701519,,,,
TCGA-AO-A0JJ,-0.003044576,,,,
TCGA-BH-A1FD,0.29008039,,,,
TCGA-AN-A0FL,-0.273729656,,,,
TCGA-D8-A1JF,0.135790048,,,,
TCGA-A8-A08S,-0.1157501,,,,
TCGA-C8-A274,-0.00409258,,,,
TCGA-D8-A3Z6,-0.476304865,,,,
TCGA-AO-A03O,0.220676661,,,,
TCGA-C8-A8HQ,0.042067634,,,,
TCGA-E2-A155,-0.081141614,,,,
TCGA-AC-A5EH,-0.162122936,,,,
TCGA-S3-AA17,-0.271841783,,,,
TCGA-GM-A3XL,0.145301625,,,,
TCGA-AO-A12A,-0.332445182,,,,
TCGA-D8-A1JU,-0.047051756,,,,
TCGA-BH-A0HO,-0.004889621,,,,
TCGA-A8-A0AB,0.002159039,,,,
TCGA-AR-A0TQ,0.097058324,,,,
TCGA-B6-A0RG,-0.372996539,,,,
TCGA-B6-A0WW,-0.333890889,,,,
TCGA-BH-A0GY,-0.037147843,,,,
TCGA-AR-A24H,0.329994306,,,,
TCGA-E2-A14R,0.269912454,,,,
TCGA-AO-A0J5,-0.150502745,,,,
TCGA-A2-A0D1,-0.146308444,,,,
TCGA-B6-A0RN,-0.315231181,,,,
TCGA-AC-A6IX,-0.311636223,,,,
TCGA-AC-A3QQ,-0.399736411,,,,
TCGA-BH-A0E9,-0.33872878,,,,
TCGA-LD-A7W5,-0.340018053,,,,
TCGA-AR-A24V,0.188444876,,,,
TCGA-A8-A08C,-0.10820707,,,,
TCGA-AO-A1KT,0.138515688,,,,
TCGA-LL-A73Y,-0.253156735,,,,
TCGA-B6-A0RH,-0.103252061,,,,
TCGA-A7-A0DC,-0.306149454,,,,
TCGA-A8-A082,-0.052646476,,,,
TCGA-EW-A1J5,0.006775519,,,,
TCGA-BH-A0BC,0.269538487,,,,
TCGA-BH-A0HX,-0.108685047,,,,
TCGA-BH-A0HQ,-0.502669526,,,,
TCGA-A8-A08O,-0.280251909,,,,
TCGA-A7-A5ZX,-0.421484454,,,,
TCGA-A8-A08G,-0.197320238,,,,
TCGA-E9-A1N8,-0.051766083,,,,
TCGA-OL-A6VO,0.223705902,,,,
TCGA-A8-A07Z,-0.346850984,,,,
TCGA-BH-A18T,0.31703245,,,,
TCGA-A1-A0SI,0.066100349,,,,
TCGA-BH-A42T,-0.05419663,,,,
TCGA-AR-A0U2,0.179201238,,,,
TCGA-A2-A0SY,0.026368779,,,,
TCGA-E9-A1N4,0.318115602,,,,
TCGA-AC-A6IV,-0.245916438,,,,
TCGA-D8-A3Z5,-0.50291754,,,,
TCGA-BH-A1F8,0.337275853,,,,
TCGA-AN-A0FF,-0.264152538,,,,
TCGA-AR-A0TU,0.318110657,,,,
TCGA-A8-A08L,0.105059409,,,,
TCGA-A2-A1FX,0.011879333,,,,
TCGA-A8-A06N,-0.268151887,,,,
TCGA-A2-A0EN,-0.031658057,,,,
TCGA-MS-A51U,-0.496586877,,,,
TCGA-OL-A5D8,-0.427353361,,,,
TCGA-EW-A1P0,-0.177758558,,,,
TCGA-AO-A0JF,0.037624427,,,,
TCGA-BH-A0BF,0.047120932,,,,
TCGA-E2-A14Q,-0.332241183,,,,
TCGA-PL-A8LV,-0.175084419,,,,
TCGA-BH-A1F6,0.266275202,,,,
TCGA-AN-A03X,-0.238807483,,,,
TCGA-E2-A152,0.042155633,,,,
TCGA-A2-A0D0,0.292735213,,,,
TCGA-AR-A24P,0.197208241,,,,
TCGA-A8-A09G,0.099926972,,,,
TCGA-C8-A1HN,0.275748189,,,,
TCGA-AN-A0AR,0.064238924,,,,
TCGA-BH-A0DE,-0.194376396,,,,
TCGA-A8-A075,0.05044646,,,,
TCGA-A2-A4RW,-0.425015781,,,,
TCGA-A8-A076,0.059412482,,,,
TCGA-A1-A0SM,0.021008314,,,,
TCGA-B6-A408,-0.406489727,,,,
TCGA-AR-A5QM,-0.412352489,,,,
TCGA-BH-A0E1,0.049876284,,,,
TCGA-A2-A0ES,-0.216112877,,,,
TCGA-B6-A0RU,0.331688893,,,,
TCGA-E9-A249,-0.003510649,,,,
TCGA-D8-A1XZ,0.309837279,,,,
TCGA-A2-A0CX,0.195943828,,,,
TCGA-D8-A27W,0.234935644,,,,
TCGA-A2-A0YI,-0.090785336,,,,
TCGA-A1-A0SB,-0.196572681,,,,
TCGA-A2-A3KD,-0.293087598,,,,
TCGA-B6-A1KI,-0.212668183,,,,
TCGA-BH-A0DH,-0.171137089,,,,
TCGA-S3-A6ZG,-0.153148462,,,,
TCGA-AO-A0J6,0.300023434,,,,
TCGA-E9-A1RC,-0.008136474,,,,
TCGA-AC-A3W5,-0.254044425,,,,
TCGA-A2-A0ER,0.129811712,,,,
TCGA-EW-A1PA,-0.373938821,,,,
TCGA-A8-A07W,0.047636739,,,,
TCGA-AR-A24X,-0.060489734,,,,
TCGA-C8-A137,0.122062826,,,,
TCGA-A2-A0T3,0.028387858,,,,
TCGA-E2-A1B1,0.367430054,,,,
TCGA-BH-A0BS,0.087766431,,,,
TCGA-3C-AALJ,-0.40852,,,,
TCGA-D8-A1XJ,0.271259002,,,,
TCGA-E9-A1R3,-0.011696649,,,,
TCGA-A2-A0CO,-0.466686775,,,,
TCGA-EW-A2FR,0.24620205,,,,
TCGA-AN-A0XV,0.027632266,,,,
TCGA-AO-A0J4,0.280131598,,,,
TCGA-E2-A573,0.183925955,,,,
