,Proliferation,,,,,,,,
TCGA-55-1596,-0.001318619,,,,,,,,
TCGA-78-7156,-0.358075352,,,,,,,,
TCGA-64-1678,-0.044320713,,,,,,,,
TCGA-86-8073,-0.11124616,,,,,,,,
TCGA-55-8092,-0.053515376,,,,,,,,
TCGA-49-6767,0.052492404,,,,,,,,
TCGA-05-4249,-0.203243002,,,,,,,,
TCGA-S2-AA1A,-0.498951572,,,,,,,,
TCGA-55-8096,-0.332952154,,,,,,,,
TCGA-97-7937,0.068009595,,,,,,,,
TCGA-67-3770,-0.451728823,,,,,,,,
TCGA-91-8499,0.072553059,,,,,,,,
TCGA-49-4510,-0.388536158,,,,,,,,
TCGA-91-6829,-0.02918995,,,,,,,,
TCGA-55-7724,-0.321434254,,,,,,,,
TCGA-86-7714,-0.418791933,,,,,,,,
TCGA-67-3773,-0.472854238,,,,,,,,
TCGA-86-A4JF,0.122123095,,,,,,,,
TCGA-75-5146,-0.429178751,,,,,,,,
TCGA-49-AAR3,-0.203022946,,,,,,,,
TCGA-MP-A4TC,-0.041736393,,,,,,,,
TCGA-55-1592,0.03726706,,,,,,,,
TCGA-99-7458,-0.234391932,,,,,,,,
TCGA-44-2668,0.185980721,,,,,,,,
TCGA-55-7227,-0.33113514,,,,,,,,
TCGA-75-6206,-0.464411406,,,,,,,,
TCGA-55-8206,-0.28004594,,,,,,,,
TCGA-55-6981,-0.349094726,,,,,,,,
TCGA-35-3615,-0.265737851,,,,,,,,
TCGA-L9-A5IP,0.011695499,,,,,,,,
TCGA-97-7938,-0.380290286,,,,,,,,
TCGA-MP-A4T9,-0.274922586,,,,,,,,
TCGA-53-A4EZ,0.059870307,,,,,,,,
TCGA-55-6987,0.087157959,,,,,,,,
TCGA-97-7546,-0.26191234,,,,,,,,
TCGA-91-6835,-0.197378451,,,,,,,,
TCGA-93-A4JO,-0.343614044,,,,,,,,
TCGA-50-5946,0.178832417,,,,,,,,
TCGA-75-6214,0.117042098,,,,,,,,
TCGA-75-6205,-0.276702049,,,,,,,,
TCGA-44-3917,0.012898695,,,,,,,,
TCGA-78-7633,-0.091252575,,,,,,,,
TCGA-55-6983,-0.306048976,,,,,,,,
TCGA-86-A4P7,-0.37620825,,,,,,,,
TCGA-MP-A4SV,0.102574736,,,,,,,,
TCGA-91-8496,-0.4889213,,,,,,,,
TCGA-97-A4M6,-0.41594549,,,,,,,,
TCGA-55-6984,-0.330571024,,,,,,,,
TCGA-86-8056,-0.243605408,,,,,,,,
TCGA-97-7554,-0.043651173,,,,,,,,
TCGA-44-6776,-0.457170119,,,,,,,,
TCGA-62-A46R,-0.069531837,,,,,,,,
TCGA-62-A46V,-0.205561329,,,,,,,,
TCGA-38-7271,-0.415311133,,,,,,,,
TCGA-49-AARE,-0.092414947,,,,,,,,
TCGA-67-6215,0.112828324,,,,,,,,
TCGA-55-8085,0.115585394,,,,,,,,
TCGA-78-7539,-0.204458785,,,,,,,,
TCGA-73-4668,0.198221146,,,,,,,,
TCGA-44-2659,-0.280760043,,,,,,,,
TCGA-91-6828,-0.286964037,,,,,,,,
TCGA-78-7150,0.069271823,,,,,,,,
TCGA-55-A4DG,-0.364803707,,,,,,,,
TCGA-J2-A4AE,-0.240424139,,,,,,,,
TCGA-05-5420,-0.313563676,,,,,,,,
TCGA-99-8025,-0.027189342,,,,,,,,
TCGA-MP-A5C7,-0.229751949,,,,,,,,
TCGA-97-8177,-0.367872721,,,,,,,,
TCGA-83-5908,0.196346964,,,,,,,,
TCGA-69-7764,-0.239351061,,,,,,,,
TCGA-50-5941,-0.203802574,,,,,,,,
TCGA-86-8358,0.068037512,,,,,,,,
TCGA-78-7537,-0.348690126,,,,,,,,
TCGA-97-7552,-0.379477692,,,,,,,,
TCGA-05-4433,-0.309236147,,,,,,,,
TCGA-55-8299,-0.062349062,,,,,,,,
TCGA-49-6742,-0.145617038,,,,,,,,
TCGA-55-7281,-0.339835221,,,,,,,,
TCGA-73-4677,-0.227873892,,,,,,,,
TCGA-62-8395,-0.405333135,,,,,,,,
TCGA-MP-A4TE,-0.089567472,,,,,,,,
TCGA-97-8547,-0.393185046,,,,,,,,
TCGA-55-A48Z,-0.109517424,,,,,,,,
TCGA-50-6593,-0.323091563,,,,,,,,
TCGA-55-7574,-0.382501441,,,,,,,,
TCGA-55-6712,-0.247101464,,,,,,,,
TCGA-93-7347,-0.415667826,,,,,,,,
TCGA-91-A4BC,-0.150893943,,,,,,,,
TCGA-55-8301,-0.019959522,,,,,,,,
TCGA-95-8494,-0.001140895,,,,,,,,
TCGA-MP-A4TK,-0.220124938,,,,,,,,
TCGA-97-8172,-0.301505228,,,,,,,,
TCGA-86-8674,-0.20397897,,,,,,,,
TCGA-86-8671,-0.428050802,,,,,,,,
TCGA-44-A4SU,-0.39972545,,,,,,,,
TCGA-05-4424,-0.023229339,,,,,,,,
TCGA-55-7815,-0.284424454,,,,,,,,
TCGA-50-6592,0.045713903,,,,,,,,
TCGA-69-7973,0.169582421,,,,,,,,
TCGA-95-7043,-0.11658612,,,,,,,,
TCGA-49-4488,-0.257672895,,,,,,,,
TCGA-44-2662,0.121121808,,,,,,,,
TCGA-62-8399,0.084194274,,,,,,,,
TCGA-50-5933,0.097459762,,,,,,,,
TCGA-49-AARO,-0.3593881,,,,,,,,
TCGA-MP-A4T8,0.009336337,,,,,,,,
TCGA-50-5936,-0.232663533,,,,,,,,
TCGA-86-7701,-0.262661527,,,,,,,,
TCGA-91-6840,-0.254285723,,,,,,,,
